RFCodeID,rc_rf_cfg_code,rc_vendor
171,ENI14B-M3-2-v1,Ericsson (Northern Ireland)
195,E14B-M4-2-v1,Ericsson
370,N14B-M3-2-v1,Nokia
407,E14B-M3-2-v1,Ericsson
437,ENI14B-M4-2-v1,Ericsson (Northern Ireland)
559,ENI14B-M2-2-v1,Ericsson (Northern Ireland)
731,E14B-M2-2-v1,Ericsson
887,N14B-M4-2-v1,Nokia
1017,N14B-M2-2-v1,Nokia
65,N14B-M3-3-v1,Nokia
345,ENI14B-M3-3-v1,Ericsson (Northern Ireland)
605,E14B-M3-3-v1,Ericsson
660,N14B-M2-3-v1,Nokia
855,E14B-M2-3-v1,Ericsson
859,ENI14B-M4-3-v1,Ericsson (Northern Ireland)
919,N14B-M4-3-v1,Nokia
1058,ENI14B-M2-3-v1,Ericsson (Northern Ireland)
1306,E14B-M4-3-v1,Ericsson
5,N14B-M3-4-v1,Nokia
623,E14B-M2-4-v1,Ericsson
666,E14B-M4-4-v1,Ericsson
923,N14B-M2-4-v1,Nokia
1005,E14B-M3-4-v1,Ericsson
1329,N14B-M4-4-v1,Nokia
375,ENI15A-M2-1-v1,Ericsson (Northern Ireland)
435,E15A-M2-1-v1,Ericsson
509,N15A-M3-1-v1,Nokia
967,N15A-M4-1-v1,Nokia
1211,E15A-M4-1-v1,Ericsson
1215,ENI15A-M3-1-v1,Ericsson (Northern Ireland)
1234,N15A-M2-1-v1,Nokia
1236,E15A-M3-1-v1,Ericsson
1389,ENI15A-M4-1-v1,Ericsson (Northern Ireland)
139,E15A-M2-2-v1,Ericsson
766,N15A-M4-2-v1,Nokia
792,E15A-M4-2-v1,Ericsson
943,N15A-M3-2-v1,Nokia
992,N15A-M2-2-v1,Nokia
1141,E15A-M3-2-v1,Ericsson
190,N15B-M3-1-v1,Nokia
311,E15B-M3-1-v1,Ericsson
377,N15B-M2-1-v1,Nokia
473,ENI15B-M4-1-v1,Ericsson (Northern Ireland)
620,E15B-M4-1-v1,Ericsson
798,ENI15B-M3-1-v1,Ericsson (Northern Ireland)
968,E15B-M2-1-v1,Ericsson
1033,N15B-M4-1-v1,Nokia
1139,ENI15B-M2-1-v1,Ericsson (Northern Ireland)
284,E15B-M3-2-v1,Ericsson
391,N15B-M4-2-v1,Nokia
584,E15B-M4-2-v1,Ericsson
706,ENI15B-M2-2-v1,Ericsson (Northern Ireland)
940,E15B-M2-2-v1,Ericsson
1084,N15B-M2-2-v1,Nokia
1123,N15B-M3-2-v1,Nokia
1249,ENI15B-M3-2-v1,Ericsson (Northern Ireland)
1390,ENI15B-M4-2-v1,Ericsson (Northern Ireland)
192,E15B-M4-3-v1,Ericsson
472,N15B-M3-3-v1,Nokia
557,N15B-M4-3-v1,Nokia
890,N15B-M2-3-v1,Nokia
918,E15B-M2-3-v1,Ericsson
1258,E15B-M3-3-v1,Ericsson
340,N6-L-U-G,Nokia
357,N6-L-U-G-i,Nokia
1298,N6-Lr-U-G,Nokia
338,N6-L-U-H,Nokia
1075,N6-L-U-H-i,Nokia
348,N6-Lr-U-H,Nokia
8,N6-L-U-F,Nokia
1311,N6-L-U-F-i,Nokia
337,N6-Lr-U-F,Nokia
48,NR-L-U-A,Ericsson
53,NR-L-M-A,Ericsson
346,NR-L-M-A-a,Ericsson
455,NR-L-M-B,Ericsson
770,NR-L-U-B,Ericsson
381,NR-L-M-B-a,Ericsson
54,NR-L-M-D,Ericsson
360,NR-L-M-D-b,Ericsson
